"id","echelle","indicateur","valeur"
"3","recoquartier","part_abf","0"
"3","recoquartier","classification_ville","5"
"3","recoquartier","classification_ville_lib","Grande centralité"
"3","recoquartier","somme_nlogh_tout_bati","97"
"3","recoquartier","somme_loccom_tout_bati","4"
"3","recoquartier","densite_tous_logh_ha","32"
"3","recoquartier","densite_tous_loccom_ha","1"
"3","recoquartier","estim_pop","151"
"3","recoquartier","nb_loccom_1000_hab","26"
"3","recoquartier","part_logh_1p","0.12"
"3","recoquartier","part_logh_2p","0.18"
"3","recoquartier","part_logh_3p","0.43"
"3","recoquartier","part_logh_4p","0.22"
"3","recoquartier","part_logh_5p_et_plus","0.04"
"3","recoquartier","part_logh_rs","0"
"3","recoquartier","id_village_avenir",""
"3","recoquartier","id_pvd",""
"3","recoquartier","id_acv","acv-006"
"3","recoquartier","part_mur_beton_agglo","1"
"3","recoquartier","part_mur_pierre_meuliere","0"
"3","recoquartier","part_mur_briques","0"
"3","recoquartier","part_mur_autres_indetermines","0"
"3","recoquartier","part_toit_zinc_alu","0"
"3","recoquartier","part_toit_zinc_ardoises","0"
"3","recoquartier","part_toit_tuiles","0"
"3","recoquartier","part_toit_beton","0"
"3","recoquartier","part_toit_autres_indetermines","1"
"3","recoquartier","fid","3"
"3","recoquartier","clust","1"
"3","recoquartier","clust_bis","1bis"
"3","recoquartier","lib_clust_bis","Les Quartiers de Logement Social"
"4","recoquartier","dep","Orne"
"4","recoquartier","epci","CU d'Alençon"
"4","recoquartier","insee_com","{61001}"
"4","recoquartier","commune","Alençon"
"4","recoquartier","nom_iris","Halle aux Toiles-Centre-Préfecture"
"4","recoquartier","insee_com_rattacht","61001"
"4","recoquartier","nom_com_rattacht","Alençon"
"4","recoquartier","nb_batiment_reco","11"
"4","recoquartier","somme_nlogh_reco","45"
"4","recoquartier","nb_logt_par_batiment","4.09"
"4","recoquartier","somme_nloccom_reco","3"
"4","recoquartier","part_nloghloue_reco","0.33"
"4","recoquartier","part_nloghpp_reco","0.47"
"4","recoquartier","part_nloghvac2a_reco","0.11"
"4","recoquartier","part_0_2_etages","0.64"
"4","recoquartier","part_3_5_etages","0.36"
"4","recoquartier","part_6_et_plus_etages","0"
"4","recoquartier","part_copro_reco","0.78"
"4","recoquartier","part_nloghlls_exo_fiscale_reco","0"
"4","recoquartier","part_nlogh_orga_hlm_reco","0"
"4","recoquartier","surface_ha","4"
